Name,Ticker,Buy & Hold Return [%],Return [%],# Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Start,End,Strategy
艾恩特,3646-TW,-18.0281690140845,50.65065499999998,10,50.0,2.696051171451918,0.1597029627240372,2012-03-27,2025-09-30,"B[1,7,59]S[1,7]"
泓瀚,4741-TW,-67.45562130177515,-7.833975000000047,8,37.5,1.0679402813732646,-0.0564530244451814,2017-09-26,2025-09-30,"B[1,7,59]S[1,7]"
台名,5878-TW,-9.881847475832426,-18.91117499999999,10,20.0,0.1463647316039802,-0.3045702867527364,2014-10-28,2025-09-30,"B[1,7,59]S[1,7]"
松普,5488-TW,-72.9946524064171,2.065797999999975,12,33.33333333333333,1.1571282712716366,0.0051128587817822,2001-03-12,2025-09-30,"B[1,7,59]S[1,7]"
吉祥全,2491-TW,-80.0,93.3382780000001,12,41.66666666666667,3.8493766504210334,0.1167346271561284,2000-02-21,2025-09-30,"B[1,7,59]S[1,7]"
雷笛克光學,5230-TW,-76.35761589403972,-58.524960000000014,14,35.714285714285715,0.1852326345144459,-0.4159884688640273,2012-06-05,2025-09-30,"B[1,7,59]S[1,7]"
精湛,2070-TW,-33.59649122807017,-21.59871,11,27.27272727272727,1.09335814184202,-0.1302360204110862,2018-12-17,2025-09-30,"B[1,7,59]S[1,7]"
熱映,3373-TW,-39.15094339622641,3.813134999999962,12,25.0,1.40284066531614,0.0100662856991331,2007-12-13,2025-09-30,"B[1,7,59]S[1,7]"
吉源-KY,8488-TW,-76.5934065934066,-9.826555000000004,8,25.0,0.5884828167605706,-0.0771355708115639,2016-12-13,2025-09-30,"B[1,7,59]S[1,7]"
安碁,6174-TW,-15.820312500000004,70.80285500000001,11,36.36363636363637,2.504959324185043,0.1231613533518433,2002-05-02,2025-09-30,"B[1,7,59]S[1,7]"
卓越,2496-TW,74.02597402597402,-9.008749999999988,6,33.33333333333333,1.0066146895900394,-0.038631966931939,2002-03-08,2025-09-30,"B[1,7,59]S[1,7]"
亞帝歐,3516-TW,-44.39999999999999,-37.660525,16,37.5,0.6239482735369893,-0.1307675913737961,2007-11-29,2025-09-30,"B[1,7,59]S[1,7]"
微端,3285-TW,107.6923076923077,-15.119474999999987,14,14.285714285714285,0.8457781000890273,-0.0575866320070508,2012-07-23,2025-09-30,"B[1,7,59]S[1,7]"
虹揚-KY,6573-TW,-73.1081081081081,-52.457852,8,12.5,0.1097709044331524,-0.5188464975164833,2017-09-26,2025-09-30,"B[1,7,59]S[1,7]"
威潤,6465-TW,-83.991462113127,-5.920959999999987,7,42.85714285714285,1.0605961560687491,-0.0341716809881837,2015-11-20,2025-09-30,"B[1,7,59]S[1,7]"
三貝德,8489-TW,-72.61904761904762,-10.149304999999991,10,50.0,0.9221725766005446,-0.0551460251293067,2017-04-27,2025-09-30,"B[1,7,59]S[1,7]"
中視,9928-TW,-65.64356435643563,-8.208322999999988,15,40.0,1.4856462770334102,-0.0115622182288176,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
廷鑫,2358-TW,-22.05128205128205,-53.73205299999998,14,28.57142857142857,0.899511628585425,-0.1297333564607486,2000-01-04,2024-04-03,"B[1,7,59]S[1,7]"
